ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
wang jinda	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Five-Year Incidence of Age-related Macular Degeneration The Beijing Eye Study
wang jing	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	SUPRACHOROIDAL HEMORRHAGE DURING PARS PLANA VITRECTOMY IN TRAUMATIZED EYES
wang jingbo	China:Fourth Mil Med Univ, Xijing Hosp, Dept Ophthalmol, Xian 710032, Shaanxi,Peoples R China. Fourth Military Medical University	CURRENT EYE RESEARCH	Increased levels of soluble syndecan-1 in the subretinal fluid and the vitreous of eyes with rhegmatogenous retinal detachment
wang juan	China:Tongji Univ, Sch Med, Dept Ophthalmol, Shanghai Peoples Hosp10, Shanghai 200092,Peoples R China. Tongji University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Subretinal Delivery of AAV2-Mediated Human Erythropoietin Gene Is Protective and Safe in Experimental Diabetic Retinopathy
wang leilei	China:Wuhan Univ, Coll Life Sci, Wuhan 430072,Peoples R China. Wuhan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Endoplasmic Reticulum Stress in Retinal Vascular Degeneration: Protective Role of Resveratrol
wang liqiang	China:Chinese Peoples Liberat Army PLA Gen Hosp, Dept Ophthalmol, Beijing 100853,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Cyclopexy versus vitrectomy combined with intraocular tamponade for treatment of cyclodialysis
wang liya	China:Henan Eye Inst, Henan Key Lab Keratopathy, Zhengzhou 450003,Peoples R China. 	MOLECULAR VISION	A novel TACSTD2 mutation identified in two Chinese brothers with gelatinous drop-like corneal dystrophy
wang meizi	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PHARMACOKINETIC COMPARISON OF KETOROLAC AFTER INTRACAMERAL, INTRAVITREAL, AND SUPRACHOROIDAL ADMINISTRATION IN RABBITS
wang min	China:Fudan Univ, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Effect of preoperative retinal sensitivity and fixation on long-term prognosis for idiopathic macular holes
wang ning	China:Shanghai Jiao Tong Univ, Affiliated Peoples Hosp 1, Dept Ophthalmol, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	OPHTHALMOLOGICA	The status of diabetic retinopathy and diabetic macular edema in patients with type 2 diabetes: A survey from Beixinjing District of Shanghai city in China
wang ningli	China:Capital Med Univ, Beijing Ophthalmol Sch, Ophthalmol & Visual Sci Key Lab, Beijing Tongren Eye Ctr,Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	EFFICACY OF VITRECTOMY WITH TRIAMCINOLONE ASSISTANCE VERSUS INTERNAL LIMITING MEMBRANE PEELING FOR HIGHLY MYOPIC MACULAR HOLE RETINAL DETACHMENT
wang ningli	China:Capital Med Univ, Beijing Ophthalmol Sch, Ophthalmol & Visual Sci Key Lab, Beijing Tongren Eye Ctr,Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	MOLECULAR VISION	R213W mutation in the retinoschisis 1 gene causes X-linked juvenile retinoschisis in a large Chinese family
wang ningli	China:Capital Med Univ, Beijing Ophthalmol Sch, Ophthalmol & Visual Sci Key Lab, Beijing Tongren Eye Ctr,Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	EXPERIMENTAL EYE RESEARCH	Controlling the number of melanopsin-containing retinal ganglion cells by early light exposure
wang ningli	China:Capital Med Univ, Beijing Ophthalmol Sch, Ophthalmol & Visual Sci Key Lab, Beijing Tongren Eye Ctr,Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	BMC OPHTHALMOLOGY	Prevalence and risk factors of posterior vitreous detachment in a Chinese adult population: the Handan eye study
wang nl	China:Capital Med Univ, Beijing Tong Ren Hosp, Ophthalmol Ctr, Beijing 100730,Peoples R China. Capital Medical University	EYE	Vitreous surgery with direct central retinal artery massage for central retinal artery occlusion
wang panfeng	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	An evaluation of OPTC and EPYC as candidate genes for high myopia
wang peijuan	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Traumat Dept, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PRELIMINARY EFFICACY AND SAFETY OF A SILICONE OIL-FILLED FOLDABLE CAPSULAR VITREOUS BODY IN THE TREATMENT OF SEVERE RETINAL DETACHMENT
wang peijuan	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Traumat Dept, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Biocompatibility and retinal support of a foldable capsular vitreous body injected with saline or silicone oil implanted in rabbit eyes
wang peijuan	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Traumat Dept, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	PLOS ONE	Comprehensive Analysis of Inflammatory Immune Mediators of the Intraocular Fluid Aspirated from the Foldable Capsular Vitreous Body Filled-Eyes
wang peijuan	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Traumat Dept, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Evaluation of 5-fluorouracil released from a foldable capsular vitreous body in vitro and in vivo
wang peijuan	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Traumat Dept, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Evaluation of Levofloxacin Release Characteristics from a Human Foldable Capsular Vitreous Body In Vitro
wang ping	China:Fourth Mil Med Univ, Dept Ophthalmol, Tangdu Hosp, Xian 710038,Peoples R China. Fourth Military Medical University	EXPERIMENTAL EYE RESEARCH	A rabbit model to study biochemical damage to the lens after vitrectomy: Effects of N-acetylcysteine
wang qian	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003, Shandong,Peoples R China. Qingdao University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Characteristics of ocular abnormalities in gout patients
wang qingping	China:Fudan Univ, Huashan Hosp, Dept Ophthalmol, Shanghai 200040,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Intravitreal Injection of Exendin-4 Analogue Protects Retinal Cells in Early Diabetic Rats
wang qinmei	China:Affiliated Eye Hosp, Wenzhou Med Coll, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	VITRECTOMY AND INTERNAL LIMITING MEMBRANE PEELING WITH PERFLUOROPROPANE TAMPONADE OR BALANCED SALINE SOLUTION FOR MYOPIC FOVEOSCHISIS
wang qinmei	China:Affiliated Eye Hosp, Wenzhou Med Coll, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Bimanual technique in proliferative diabetic retinopathy using an optical fiber-free intravitreal surgery system: a case control study
wang qiulin	China:Chongqing Univ, Key Lab Optoelect Technol & Syst, Minist Educ, Chongqing 400044,Peoples R China. Chongqing University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Epiretinal prosthesis for outer retinal degenerative diseases
wang rong	China:Huazhong Univ Sci & Technol, Tongji Med Coll, Dept Ophthalmol, Wuhan 430030,Peoples R China. Huazhong University of Science & Technology	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Feasibility study of chitosan as intravitreous tamponade material
wang rui	China:Xian 4 Hosp, Dept Ophthalmol, Xian 710004, Shaanxi Provinc,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Multiple methods of surgical treatment combined with primary IOL implantation on traumatic lens subluxation/dislocation in patients with secondary glaucoma
wang ruiqin	China:Jilin Univ, Dept Ophthalmol, Hosp 2, Changchun 130041, Jilin Province,Peoples R China. Jilin University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Dynamic changes of ocular biometric parameters: a modified form -deprivation myopia model of young guinea pigs
wang shaushan	China:Xian 4 Hosp, Dept Ophthalmol, Xian 710004, Shaanxi Provinc,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Multiple methods of surgical treatment combined with primary IOL implantation on traumatic lens subluxation/dislocation in patients with secondary glaucoma
wang shuang	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Five-Year Incidence of Age-related Macular Degeneration The Beijing Eye Study
wang shuhong	China:Nanjing Med Univ, Dept Ophthalmol, Huaian Peoples Hosp 1, Huaian 223300,Peoples R China. Nanjing Medical University	CURRENT EYE RESEARCH	Role of Intravitreal Inflammatory Cytokines and Angiogenic Factors in Proliferative Diabetic Retinopathy
wang t	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	EYE	Evaluation of supporting role of a foldable capsular vitreous body with magnetic resonance imaging in the treatment of severe retinal detachment in human eyes
wang t	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Biocompatibility and retinal support of a foldable capsular vitreous body injected with saline or silicone oil implanted in rabbit eyes
wang t	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A Preliminary Study to Treat Severe Endophthalmitis via a Foldable Capsular Vitreous Body with Sustained Levofloxacin Release in Rabbits
wang t	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Evaluation of Levofloxacin Release Characteristics from a Human Foldable Capsular Vitreous Body In Vitro
wang ting	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	OPHTHALMOLOGY	Risk Factors, Clinical Features, and Outcomes of Recurrent Fungal Keratitis after Corneal Transplantation
wang w	China:Chinese Peoples Liberat Army Gen Hosp, Hainan Branch, Dept Gastroenterol & Hepatol, Sanya,Peoples R China. 	EYE	Ophthalmic manifestations in a Chinese family with familial amyloid polyneuropathy due to a TTR Gly83Arg mutation
wang weiwei	China:Beixinjing Community Hlth Serv Ctr, Shanghai,Peoples R China. 	PLOS ONE	Prevalence and Risk Factors of Idiopathic Epiretinal Membranes in Beixinjing Blocks, Shanghai, China
wang weiwei	China:Beixinjing Community Hlth Serv Ctr, Shanghai,Peoples R China. 	OPHTHALMOLOGICA	The status of diabetic retinopathy and diabetic macular edema in patients with type 2 diabetes: A survey from Beixinjing District of Shanghai city in China
wang wenji	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200433,Peoples R China. Fudan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical characteristics of ocular toxocariasis in Eastern China
wang wenji	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200433,Peoples R China. Fudan University	EYE	Enzymatic vitreolysis with recombinant microplasminogen and tissue plasminogen activator
wang wujun	China:Southern Med Univ, Nanfang Hosp, Dept Cardiothorac Surg, Guangzhou 510515, Guangdong,Peoples R China. Southern Medical University - China	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Spontaneous regression if retinopathy of prematurity: incidence and predictive factors
wang x	China:Hosp Eye, Wenzhou Med Coll, State Key Lab Cultivat Base, China Natl Optometry Ctr, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Clinical complications of combined phacoemulsification and vitrectomy for eyes with coexisting cataract and vitreoretinal diseases
wang x	China:Hosp Eye, Wenzhou Med Coll, State Key Lab Cultivat Base, China Natl Optometry Ctr, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	ACTA OPHTHALMOLOGICA	Longterm results after phacovitrectomy and foldable intraocular lens implantation
wang x	China:Xiamen Univ, Xiamen Eye Ctr, Xiamen,Peoples R China. Xiamen University	EYE	Plasma and vitreous fluid levels of Dickkopf-1 in patients with diabetic retinopathy
wang xiaoqin	China:Third Mil Med Univ, Southwest Hosp, Dept Ophthalmol, Chongqing 400038,Peoples R China. Third Military Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Intravitreous Vascular Endothelial Growth Factor and Hypoxia-Inducible Factor 1a in Patients With Proliferative Diabetic Retinopathy
wang xu	China:Shandong Univ, Qianfoshan Hosp, Sch Med, Dept Ophthalmol, Jinan 250014, Shandong,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	General anesthesia versus local anesthesia for penetrating keratoplasty: a prospective study
wang y	China:Capital Med Univ, Beijing Tong Ren Hosp, Ophthalmol Ctr, Beijing 100730,Peoples R China. Capital Medical University	EYE	Vitreous surgery with direct central retinal artery massage for central retinal artery occlusion
wang y	China:Capital Med Univ, Beijing Tong Ren Hosp, Ophthalmol Ctr, Beijing 100730,Peoples R China. Capital Medical University	PLOS ONE	Prevalence and Associations of Incomplete Posterior Vitreous Detachment in Adult Chinese: The Beijing Eye Study
wang y	China:Capital Med Univ, Beijing Tong Ren Hosp, Ophthalmol Ctr, Beijing 100730,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Five-Year Incidence of Age-related Macular Degeneration The Beijing Eye Study
wang y	China:Capital Med Univ, Beijing Tong Ren Hosp, Ophthalmol Ctr, Beijing 100730,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Myopic Maculopathy Imaged by Optical Coherence Tomography The Beijing Eye Study
wang y	China:Yangzhou Univ, Dept Ophthalmol, Sch Clin Med, Yangzhou 225001, Jiangsu,Peoples R China. Yangzhou University	EYE	Safety and efficacy of intravitreal injection of recombinant erythropoietin for protection of photoreceptor cells in a rat model of retinal detachment
wang yakun	China:Yangzhou Univ, Dept Ophthalmol, Sch Clin Med, Subei Peoples Hosp Jiangsu Prov, Yangzhou, Jiangsu,Peoples R China. Yangzhou University	CURRENT EYE RESEARCH	Intravitreal Injection of Soluble Erythropoietin Receptor Exacerbates Photoreceptor Cell Apoptosis in a Rat Model of Retinal Detachment
wang yakun	China:Yangzhou Univ, Dept Ophthalmol, Sch Clin Med, Subei Peoples Hosp Jiangsu Prov, Yangzhou, Jiangsu,Peoples R China. Yangzhou University	CURRENT EYE RESEARCH	Effects of Supplemental Erythropoietin on Its Receptor Expression and Signal Transduction Pathways in Rat Model of Retinal Detachment
wang yiqiang	China:Shandong Eye Inst, State Key Lab Cultivat Base Shandong Prov Key Lab, Qingdao 266071,Peoples R China. 	CURRENT EYE RESEARCH	Expression Profile and Regulation of Telomerase Reverse Transcriptase on Oxygen-Induced Retinal Neovascularization
wang yunxiao	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003,Peoples R China. Qingdao University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Visual outcome following intraocular foreign bodies: a retrospective review of 5-year clinical experience
wang yusheng	China:Fourth Mil Med Univ, Dept Ophthalmol, Eye Inst Chinese PLA, Xijing Hosp, Xian 710032,Peoples R China. Fourth Military Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Mechanical force enhances MMP-2 activation via p38 signaling pathway in human retinal pigment epithelial cells
wang z	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	EYE	A new strategy to replace the natural vitreous by a novel capsular artificial vitreous body with pressure-control valve
wang z	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	EYE	Evaluation of supporting role of a foldable capsular vitreous body with magnetic resonance imaging in the treatment of severe retinal detachment in human eyes
wang z	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PRELIMINARY EFFICACY AND SAFETY OF A SILICONE OIL-FILLED FOLDABLE CAPSULAR VITREOUS BODY IN THE TREATMENT OF SEVERE RETINAL DETACHMENT
wang z	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Evaluation of the Flexibility, Efficacy, and Safety of a Foldable Capsular Vitreous Body in the Treatment of Severe Retinal Detachment
wang z	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Sustained Mechanical Release of Dexamethasone Sodium Phosphate from a Foldable Capsular Vitreous Body
wang zaowen	China:Chinese Acad Med Sci, Dept Ophthalmol, Peking Union Med Coll Hosp, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Idiopathic phacodonesis in senile cataract patients in Qinghai, China
