abdulhalim sancar	China:Wuhan Univ, Dept Ophthalmol, Zhongnan Hosp, Wuhan 430072, Hubei,Peoples R China. Wuhan University	PLOS ONE	Anti-VEGF Agents with or without Antimetabolites in Trabeculectomy for Glaucoma: A Meta-Analysis
ma k	China:Capital Univ Med Sci, Dept Ophthalmol, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing 100005,Peoples R China. Capital Medical University	ACTA OPHTHALMOLOGICA	Ocular hypertension
ma k	China:Capital Univ Med Sci, Dept Ophthalmol, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing 100005,Peoples R China. Capital Medical University	OPHTHALMOLOGY	Pseudoexfoliation: Normative Data and Associations The Beijing Eye Study 2011
ma k	China:Capital Univ Med Sci, Dept Ophthalmol, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing 100005,Peoples R China. Capital Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Effect of Brimonidine on Retinal Ganglion Cell Survival in an Optic Nerve Crush Model
ma lin	China:Peoples Liberat Army Gen Hosp, Dept Radiol, Beijing,Peoples R China. 	PLOS ONE	Reliability of Three-Dimensional Pseudo-Continuous Arterial Spin Labeling MR Imaging for Measuring Visual Cortex Perfusion on Two 3T Scanners
ma ping	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A rabbit dry eye model induced by topical medication of a preservative benzalkonium chloride
ma xiaoye	China:Second Mil Med Univ, Dept Ophthalmol, Shanghai Changzheng Hosp, Shanghai 200003,Peoples R China. Second Military Medical University	JOURNAL OF GLAUCOMA	The Prevalence of Primary Glaucoma in Mainland China: A Systematic Review and Meta-analysis
ma xiaoye	China:Second Mil Med Univ, Dept Ophthalmol, Shanghai Changzheng Hosp, Shanghai 200003,Peoples R China. Second Military Medical University	CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE	Meta-analysis of selective laser trabeculoplasty with argon laser trabeculoplasty in the treatment of open-angle glaucoma
ma xiaoye	China:Second Mil Med Univ, Dept Ophthalmol, Shanghai Changzheng Hosp, Shanghai 200003,Peoples R China. Second Military Medical University	PLOS ONE	Myocilin Polymorphisms and Primary Open-Angle Glaucoma: A Systematic Review and Meta-Analysis
ma y	China:Tongren Hosp, Dept Ophthalmol, Beijing,Peoples R China. 	EYE	Peripapillary atrophy in elderly Chinese in rural and urban Beijing
ma yaling	China:Univ Melbourne, Royal Victorian Eye & Ear Hosp, Dept Ophthalmol, Ctr Eye Res Australia, Melbourne, Vic 3010, Australia. Royal Victorian Eye & Ear HospitalUniversity of Melbourne	OPHTHALMIC EPIDEMIOLOGY	Prevalence of Chronic Ocular Diseases in a Genetic Isolate: The Norfolk Island Eye Study (NIES)
ma zhizhong	China:Peking Univ Third Hosp, Peking Univ Eye Ctr, Key Lab Vis Loss & Restorat, Beijing 100191,Peoples R China. Peking University	OPHTHALMOLOGY	Usefulness of Frequency-Doubling Technology for Perimetrically Normal Eyes of Open-Angle Glaucoma Patients with Unilateral Field Loss
mak heather	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Anterior Chamber Angle Imaging with Swept-Source Optical Coherence Tomography: Measuring Peripheral Anterior Synechia in Glaucoma
mak heather	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMOLOGY	Imaging the Iris with Swept-Source Optical Coherence Tomography: Relationship between Iris Volume and Primary Angle Closure
mak heather	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Retinal Nerve Fiber Layer Imaging with Spectral-Domain Optical Coherence Tomography: Interpreting the RNFL Maps in Healthy Myopic Eyes
mao danna	China:Chongqing Med Univ, Chongqing Key Lab Ophthalmol, Chongqing Eye Inst, Dept Ophthalmol,Affiliated Hosp 1, Chongqing 400016,Peoples R China. Chongqing Medical University	MOLECULAR VISION	Decrease in retinal neuronal cells in streptozotocin-induced diabetic mice
mao g	China:Wenzhou Med Coll, Affiliated Hosp 1, Sch Environm Sci & Publ Hlth, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	EYE	Association between corneal biomechanical properties and myopia in Chinese subjects
mao sihong	China:Quzhou Peoples Hosp, Dept Ophthalmol, Quzhou, Zhejiang,Peoples R China. 	PLOS ONE	Ex-PRESS Implantation versus Trabeculectomy in Open-Angle Glaucoma: A Meta-Analysis of Randomized Controlled Clinical Trials
mao zhen	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Damage to the blood-aqueous barrier in eyes with primary angle closure glaucoma
mao zhen	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Inhibition of p38 mitogen-activated protein kinase phosphorylation decrease tert-butyl hydroperoxide-induced apoptosis in human trabecular meshwork cells
mao zhen	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	ACTA OPHTHALMOLOGICA	Phacoemulsification combined with posterior capsulorhexis and anterior vitrectomy in the management of malignant glaucoma in phakic eyes
mao zhen	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Sodium Hyaluronate Decreases Ocular Surface Toxicity Induced by Benzalkonium Chloride-Preserved Latanoprost: An In Vivo Study
mao zhen	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Investigation of the association between CALCRL polymorphisms and primary angle closure glaucoma
mayinu mayinu	China:Xinjiang Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Urumqi 830054, Xinjiang Uygur,Peoples R China. 	MOLECULAR VISION	Evaluation of LOXL1 polymorphisms in exfoliation syndrome in the Uygur population
mckee hamish	China:Chinese Univ Hong Kong, Hong Kong Eye Hosp, Dept Ophthalmol & Visual Sci, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	JOURNAL OF GLAUCOMA	Anterior Chamber Angle Imaging With Swept-Source Optical Coherence Tomography: Detecting the Scleral Spur, Schwalbe's Line, and Schlemm's Canal
meng h	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Key Lab Visual Sci, Tongren Eye Ctr, Beijing,Peoples R China. Capital Medical University	EYE	Can early postoperative intraocular pressure predict success following mitomycin-C augmented trabeculectomy in primary angle-closure glaucoma
meng hail	China:Anyang Eye Hosp, Anyang, Henan Province,Peoples R China. 	JOURNAL OF GLAUCOMA	Early Efficacy and Complications of Releasable Sutures for Trabeculectomy in Primary Angle-closure Glaucoma: A Randomized Clinical Trial
meng hail	China:Anyang Eye Hosp, Anyang, Henan Province,Peoples R China. 	JOURNAL OF GLAUCOMA	Daytime Fluctuation of Intraocular Pressure in Patients With Primary Angle-Closure Glaucoma After Trabeculectomy
meng hail	China:Anyang Eye Hosp, Anyang, Henan Province,Peoples R China. 	MOLECULAR VISION	Evaluation of LOXL1 polymorphisms in exfoliation syndrome in a Chinese population
meng meng	China:Capital Med Univ, Beijing Tongren Hosp, Tongren Eye Care Ctr, Beijing,Peoples R China. Capital Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Parapapillary Beta Zone in Primary School Children in Beijing: Associations With Outdoor Activity
meng nana	China:Shandong Univ, Qilu Hosp, Dept Hlth Care, Jinan 250100,Peoples R China. Shandong University	PLOS ONE	Color Doppler Imaging Analysis of Retrobulbar Blood Flow Velocities in Primary Open-Angle Glaucomatous Eyes: A Meta-Analysis
meng qingfeng	China:Harbin Med Coll, Affiliated Hosp 2, Dept Ophthalmol, Harbin 150086, Heilongjiang Pr,Peoples R China. Harbin Medical University	MOLECULAR VISION	A novel optineurin genetic mutation associated with open-angle glaucoma in a Chinese family
meng xuxia	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003,Peoples R China. Qingdao University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Visual outcome following intraocular foreign bodies: a retrospective review of 5-year clinical experience
mi xuesong	China:State Key Lab Brain & Cognit Sci, Hong Kong, Hong Kong,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Progressive Retinal Degeneration in Transgenic Mice with Overexpression of Endothelin-1 in Vascular Endothelial Cells
miao ying	China:Ocean Univ China, Coll Marine Life Sci, Key Lab Corneal Tissue Engn, Qingdao 266003, Shandong,Peoples R China. Ocean University of China	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Cytotoxic effects of betaxolol on healthy corneal endothelial cells both in vitro and in vivo
min yingjun	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Ruijin Hosp, Affiliated Med Sch, Shanghai 200025,Peoples R China. Shanghai Jiao Tong University	DOCUMENTA OPHTHALMOLOGICA	Color Doppler imaging and pattern visual evoked potential in normal tension glaucoma and hypertension glaucoma
min yingjun	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Ruijin Hosp, Affiliated Med Sch, Shanghai 200025,Peoples R China. Shanghai Jiao Tong University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Blue-on-yellow perimetry and optical coherence tomography in patients with preperimetric glaucoma
mitchell paul	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Influence of Diabetes and Diabetic Retinopathy on the Performance of Heidelberg Retina Tomography II for Diagnosis of Glaucoma
mo bin	China:Capital Med Univ, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab, Beijing 100730,Peoples R China. Capital Medical University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Neuroprotective Effect of Curcumin Against Oxidative Damage in BV-2 Microglia and High Intraocular Pressure Animal Model
mo xiaoye	China:Cent S Univ, Dept Anat & Neurobiol, Xiangya Sch Med, Changsha 410013, Hunan,Peoples R China. Central South University	CURRENT EYE RESEARCH	Differential Changes of Local Blood Supply in Rat Retinae Are Involved in the Selective Loss of Retinal Ganglion Cells Following the Acute High Intraocular Pressure
mou dapeng	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Ophthalmol & Visual Sci Key Lab 1, Beijing Tongren Eye Ctr, Beijing 100730,Peoples R China. Capital Medical University	JOURNAL OF GLAUCOMA	Peripheral Anterior Synechia Reduce Extent of Angle Widening After Laser Peripheral Iridotomy in Eyes With Primary Angle Closure
mu dapeng	China:Capital Med Univ, Beijing Ophthalmol & Visual Sci Lab, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Prospective evaluation of changes in anterior segment morphology after laser iridotomy in Chinese eyes by rotating Scheimpflug camera imaging
mu dapeng	China:Capital Med Univ, Beijing Ophthalmol & Visual Sci Lab, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	BRITISH JOURNAL OF OPHTHALMOLOGY	Comparative study of retinal nerve fibre layer measurement by RTVue OCT and GDx VCC
mu dapeng	China:Capital Med Univ, Beijing Ophthalmol & Visual Sci Lab, Beijing Tongren Eye Ctr, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	JOURNAL OF GLAUCOMA	Correlation Between Pupil Diameter and Angle Configuration in the Dark Room Provocative Test
mu ketao	China:Huazhong Univ Sci & Technol, Dept Radiol, Tongji Med Coll, Tongji Hosp, Wuhan 430030,Peoples R China. Huazhong University of Science & Technology	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Diffusion tensor magnetic resonance imaging reveals visual pathway damage that correlates with clinical severity in glaucoma
mu ketao	China:Huazhong Univ Sci & Technol, Dept Radiol, Tongji Med Coll, Tongji Hosp, Wuhan 430030,Peoples R China. Huazhong University of Science & Technology	PLOS ONE	Altered Spontaneous Brain Activity in Primary Open Angle Glaucoma: A Resting-State Functional Magnetic Resonance Imaging Study
muhemaiti paerheti	China:A Di Ya Eye Hosp, Urumqi, Xinjiang,Peoples R China. 	MOLECULAR VISION	A novel MYOC heterzygous mutation identified in a Chinese Uygur pedigree with primary open-angle glaucoma
ng larryhouyan	China:Hong Kong Polytech Univ, Sch Optometry, Optometry Clin, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Bilateral juvenile open angle glaucoma in two Chinese children: case report
ng pakcheung	China:Chinese Univ Hong Kong, Prince Wales Hosp, Dept Pediat, Shatin, Hong Kong,Peoples R China. Chinese University of Hong KongPrince of Wales Hospital	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A longitudinal study to establish the normative value and to evaluate perinatal factors affecting Intraocular pressure in preterm infants
ng tszkin	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	Evaluation of NTF4 as a causative gene for primary open-angle glaucoma
ng yiufai	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry Neurosci, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	BRITISH JOURNAL OF OPHTHALMOLOGY	Detection of early functional changes in diabetic retina using slow double-stimulation mfERG paradigm
ng yiufai	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry Neurosci, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	BRITISH JOURNAL OF OPHTHALMOLOGY	Effect of inner retinal dysfunction on slow double-stimulation multifocal electroretinogram
ng yiufai	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry Neurosci, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Forward and backward adaptive effects in global flash multifocal electroretinogram stimulation
ng yiufai	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry Neurosci, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	DOCUMENTA OPHTHALMOLOGICA	Pharmacologically defined components of the normal porcine multifocal ERG
ng yiufai	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry Neurosci, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Luminance-modulated adaptation in the global flash mfERG: a preliminary study of early retinal functional changes in high-risk glaucoma patients
ng yiufai	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry Neurosci, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	VISION RESEARCH	Porcine global flash multifocal electroretinogram: Possible mechanisms for the glaucomatous changes in contrast response function
ng yuifai	China:Hong Kong Polytech Univ, Sch Optometry, Lab Expt Optometry Neurosci, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Applications of the multifocal electroretinogram in the detection of glaucoma
ni shouxiang	China:Hosp Eye, Wenzhou Med Coll, Sch Optometry & Ophthalmol, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	EXPERIMENTAL EYE RESEARCH	Effect of glucose on the stress-strain behavior of ex-vivo rabbit cornea
nie li	China:Hosp Eye, Dept Glaucoma, Wenzhou Med Coll, Wenzhou 325027,Peoples R China. Wenzhou Medical University	CURRENT EYE RESEARCH	Use of the Anterior Chamber Maintainer in Trabeculectomy Following Vitrectomy
nie li	China:Hosp Eye, Dept Glaucoma, Wenzhou Med Coll, Wenzhou 325027,Peoples R China. Wenzhou Medical University	JOURNAL OF GLAUCOMA	Endoscopically Controlled Goniosynechialysis in Managing Synechial Angle-closure Glaucoma
nie qingzhu	China:China Med Univ, Dept Ophthalmol, Shengjing Hosp, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Efficacy and tolerability of one-site versus two-site phacotrabeculectomy: a meta-analysis
nie qingzhu	China:China Med Univ, Dept Ophthalmol, Shengjing Hosp, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Expression of Nogo-A on the retina in rat model with chronic ocular hypertension
nie qingzhu	China:China Med Univ, Dept Ophthalmol, Shengjing Hosp, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Clinical effect of improved viscocanalostomy for the treatment of primary congenital glaucoma
ning yan	China:Jilin Univ, Hosp 1, Dept Ophthalmol, Changchun 130021,Peoples R China. Jilin University	CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE	Minimal trephination penetrating keratoplasty for severe fungal keratitis complicated with hypopyon
or mingkeung	China:Hong Kong Polytech Univ, Dept Appl Math, Hong Kong, Hong Kong,Peoples R China. Hong Kong Polytechnic University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Computer Simulation of Progressive Retinal Nerve Fiber Layer Loss in Glaucoma: Performance of Event and Trend Analyses
ouyang pingbo	China:Cent S Univ, Dept Ophthalmol, Xiangya Hosp 2, Changsha 410011, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Assessment of intraocular pressure measured by Reichert Ocular Response Analyzer, Goldmann Applanation Tonometry, and Dynamic Contour Tonometry in healthy individuals
pan qing	China:Zhejiang Univ, Sch Med, Affiliated Hosp 1, Dept Ophthalmol, Hangzhou 310003, Zhejiang,Peoples R China. Zhejiang University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Indications and outcomes of penetrating keratoplasty in a tertiary hospital in the developing world
