adan alfredo	China:Chinese Univ Hong Kong, Dept Ophthalmol, Hong Kong Sanat & Hosp, Happy Valley, Hong Kong,Peoples R China. Chinese University of Hong Kong	AMERICAN JOURNAL OF OPHTHALMOLOGY	Long-term Visual Outcomes of Intravitreal Bevacizumab in Inflammatory Ocular Neovascularization
liu z	China:Xiamen Univ, Inst Eye, Xiamen,Peoples R China. Xiamen University	EYE	Plasma and vitreous fluid levels of Dickkopf-1 in patients with diabetic retinopathy
liu z	China:Xiamen Univ, Inst Eye, Xiamen,Peoples R China. Xiamen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Regulation of Endothelial Progenitor Cell Release by Wnt Signaling in Bone Marrow
liu z	China:Xiamen Univ, Inst Eye, Xiamen,Peoples R China. Xiamen University	OPTOMETRY AND VISION SCIENCE	Vision-Related Quality of Life in Patients with Infectious Keratitis
liu z	China:Xiamen Univ, Inst Eye, Xiamen,Peoples R China. Xiamen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Therapeutic Effects of Topical Doxycycline in a Benzalkonium Chloride-Induced Mouse Dry Eye Model
liu z	China:Zhejiang Prov Peoples Hosp, Ctr Eye, Hangzhou, Zhejiang,Peoples R China. 	EYE	Natural evolution from macular retinoschisis to full-thickness macular hole in highly myopic eyes
liu z	China:Zhejiang Prov Peoples Hosp, Ctr Eye, Hangzhou, Zhejiang,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Natural evolution and surgical outcome of massive subretinal haemorrhage in a patient with neovascular age-related macular degeneration on warfarin therapy
liu zaoxia	China:Jilin Univ, Hosp 2, Dept Ophthalmol, Changchun 130021, Jilin,Peoples R China. Jilin University	CURRENT EYE RESEARCH	Effect of Robo4 on Retinal Endothelial Permeability
liu zengping	China:Third Mil Med Univ, Southwest Hosp, Dept Ophthalmol, Chongqing,Peoples R China. Third Military Medical University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Penetration Force, Geometry, and Cutting Profile of the Novel and Old Ozurdex Needle: The MONO Study
liu zhaochuan	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGICA	Preventive Scleral Buckling and Silicone Oil Tamponade Are Important for Posttraumatic Endophthalmitis Successfully Managed with Vitrectomy
liu zheli	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Expression of FLK-1 in laser-induced choroidal neovascularization in mouse
liu zheli	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	HIF-1 alpha expression and retinal cell apoptosis in rat retina ischemia-reperfusion injury
liu zheli	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Bevacizumab vs ranibizumab for neovascular age-related macular degeneration in Chinese patients
liu zheli	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	The inhibitory effect of triamcinolone acetonide on the proliferation of monkey choroid -retinal endothelial cells in hypoxia condition
liu zheli	China:China Med Univ, Affiliated Shengjing Hosp, Dept Ophthalmol, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	CTGFsiRNA ameliorates retinal cells apoptosis in streptozotocin-induced diabetic rats
liu zheli	China:China Med Univ, Department Ophthalmol, Hosp 1, Shenyang 110001,Peoples R China. China Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Intravitreal Bevacizumab for Treatment of Subfoveal Idiopathic Choroidal Neovascularization: Results of a 1-Year Prospective Trial
liu zheli	China:China Med Univ, Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning Provin,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Interleukin-6 receptor blockade suppresses subretinal fibrosis in a mouse model
liu zheli	China:China Med Univ, Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning Provin,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Transforming growth factor -beta neutralizing antibodies inhibit subretinal fibrosis in a mouse model
liu zheli	China:China Med Univ, Hosp 1, Dept Ophthalmol, Shenyang 110001,Peoples R China. China Medical University	ACTA OPHTHALMOLOGICA	Incidence of Charles Bonnet syndrome after intravitreal bevacizumab injection in neovascular age-related macular degeneration
liu zheli	China:China Med Univ, Hosp 1, Dept Ophthalmol, Shenyang 110001,Peoples R China. China Medical University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Intravitreal Bevacizumab for Treatment of Macular Edema Secondary to Central Retinal Vein Occlusion: Eighteen-Month Results of a Prospective Trial
liu zheli	China:First Hosp China Med Univ, Dept Ophthalmol, Shenyang 110001,Peoples R China. 	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	INTRAVITREAL BEVACIZUMAB AS PRIMARY TREATMENT OF CHOROIDAL NEOVASCULARIZATION SECONDARY TO PUNCTATE INNER CHOROIDOPATHY Results of a 1-year Prospective Trial
liu zhengfeng	China:Shandong Univ Tradit Chinese Med, Jinan, Shandong,Peoples R China. 	MOLECULAR VISION	The proliferation of malignant melanoma cells could be inhibited by ranibizumab via antagonizing VEGF through VEGFR1
liu zhili	China:China Med Univ, Dept Ophthalmol, Shengjing Hosp, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Influence of geranylgeranylacetone on the expression of HSP70 in retina of rats with chronic IOP elevation
liu zhili	China:China Med Univ, Dept Ophthalmol, Shengjing Hosp, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Expression of Nogo-A on the retina in rat model with chronic ocular hypertension
liu zhili	China:China Med Univ, Dept Ophthalmol, Shengjing Hosp, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Expression of caspase-9 affected by AG on retina of rats with chronic IOP elevation
liu zhiping	China:Chinese Acad Sci, Inst Biophys, State Key Lab Brain & Cognit Sci, Beijing 100101,Peoples R China. Chinese Academy of Sciences	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Long-Term Rescue of Rat Retinal Ganglion Cells and Visual Function by AAV-Mediated BDNF Expression after Acute Elevation of Intraocular Pressure
lo a	China:Univ Hong Kong, Inst Eye, Hong Kong, Hong Kong,Peoples R China. University of Hong Kong	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Alterations in basement membrane immunoreactivity of the diabetic retina in three diabetic mouse models
lo a	China:Univ Hong Kong, Inst Eye, Hong Kong, Hong Kong,Peoples R China. University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Novel Heavy Tamponade for Vitreoretinal Surgery
lo a	China:Univ Hong Kong, Inst Eye, Hong Kong, Hong Kong,Peoples R China. University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Ultrasound-Mediated Transscleral Delivery of Macromolecules to the Posterior Segment of Rabbit Eye In Vivo
lo lo	China:Univ Hong Kong, LKS Fac Med, Res Ctr Heart Brain Hormone & Hlth Aging, Hong Kong, Hong Kong,Peoples R China. University of Hong Kong	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Neuroprotective effects of lutein in a rat model of retinal detachment
lo lo	China:Univ Hong Kong, LKS Fac Med, Res Ctr Heart Brain Hormone & Hlth Aging, Hong Kong, Hong Kong,Peoples R China. University of Hong Kong	OPHTHALMOLOGICA	Apoptosis and Other Cell Death Mechanisms after Retinal Detachment: Implications for Photoreceptor Rescue
lo lo	China:Univ Hong Kong, LKS Fac Med, Res Ctr Heart Brain Hormone & Hlth Aging, Hong Kong, Hong Kong,Peoples R China. University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Aldose Reductase Deficiency Reduced Vascular Changes in Neonatal Mouse Retina in Oxygen-Induced Retinopathy
lo lo	China:Univ Hong Kong, LKS Fac Med, Res Ctr Heart Brain Hormone & Hlth Aging, Hong Kong, Hong Kong,Peoples R China. University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Anti-Inflammatory Effects of Lutein in Retinal Ischemic/Hypoxic Injury: In Vivo and In Vitro Studies
lo lo	China:Univ Hong Kong, LKS Fac Med, Res Ctr Heart Brain Hormone & Hlth Aging, Hong Kong, Hong Kong,Peoples R China. University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Effect of Lutein on Retinal Neurons and Oxidative Stress in a Model of Acute Retinal Ischemia/Reperfusion
lo lo	China:Univ Hong Kong, LKS Fac Med, Res Ctr Heart Brain Hormone & Hlth Aging, Hong Kong, Hong Kong,Peoples R China. University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Progressive Retinal Degeneration in Transgenic Mice with Overexpression of Endothelin-1 in Vascular Endothelial Cells
lo kakin	China:Hong Kong Polytech Univ, Dept Hlth Technol & Informat, Kowloon, Hong Kong,Peoples R China. Hong Kong Polytechnic University	ARCHIVES OF OPHTHALMOLOGY	TGFB1 as a Susceptibility Gene for High Myopia A Replication Study With New Findings
long c	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	EYE	A new strategy to replace the natural vitreous by a novel capsular artificial vitreous body with pressure-control valve
long c	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	EYE	Evaluation of supporting role of a foldable capsular vitreous body with magnetic resonance imaging in the treatment of severe retinal detachment in human eyes
long c	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PRELIMINARY EFFICACY AND SAFETY OF A SILICONE OIL-FILLED FOLDABLE CAPSULAR VITREOUS BODY IN THE TREATMENT OF SEVERE RETINAL DETACHMENT
long c	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Evaluation of the Flexibility, Efficacy, and Safety of a Foldable Capsular Vitreous Body in the Treatment of Severe Retinal Detachment
long liaoxu	China:Guangzhou Med Univ, Guangzhou, Guangdong,Peoples R China. Guangzhou Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	A comparing study of quantitative staining techniques for retinal neovascularization in a mouse model of oxygen-induced retinopathy
long qin	China:Chinese Acad Med Sci, Peking Union Med Coll Hosp, Dept Ophthalmol, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	OPTOMETRY AND VISION SCIENCE	C-Reactive Protein and Complement Components in Patients with Pathological Myopia
long shixian	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Functional changes following combined intravitreal bevacizumab and photodynamic therapy for polypoidal choroidal vasculopathy
lou lixia	China:Zhejiang Univ, Coll Med, Affiliated Hosp 2, Dept Ophthalmol, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Association Between Aspirin Use and Age-Related Macular Degeneration: A Meta-Analysis
louey louey	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	EDN1 Lys198Asn is associated with diabetic retinopathy in type 2 diabetes
lu bin	China:Shanghai 6 Peoples Hosp, Dept Ophthalmol, Shanghai,Peoples R China. Shanghai Jiao Tong University	CURRENT EYE RESEARCH	Lentivirus-Mediated sFlt-1 Gene Fragment Transfer Suppresses Retinal Neovascularization
lu bin	China:Shanghai 6 Peoples Hosp, Dept Ophthalmol, Shanghai,Peoples R China. Shanghai Jiao Tong University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Differentiation of rat mesenchymal stem cells transplanted into the subretinal space of sodium iodate-injected rats
lu chengwei	China:Jilin Univ, Dept Ophthalmol, Hosp 1, Changchun 130021, Jilin Province,Peoples R China. Jilin University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Culture and identification of endothelial progenitor cells from human umbilical cord blood
lu fan	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	EXPERIMENTAL EYE RESEARCH	Axial myopia induced by hyperopic defocus in guinea pigs: A detailed assessment on susceptibility and recovery
lu fan	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	MOLECULAR VISION	Expression of melanin-related genes in cultured adult human retinal pigment epithelium and uveal melanoma cells
lu fan	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	CURRENT EYE RESEARCH	Bypassing Occluded Retinal Main Vessel Segments in Isolated Arterially Perfused Caprine Eyes
lu fan	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of simulated dynamic intraocular pressure on retinal thickness measured by optical coherence tomography after cataract surgery
lu fan	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	A New Approach for Active Removal of 5,000 Centistokes Silicone Oil Through 23-Gauge Cannula
lu fan	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	MOLECULAR VISION	Evaluation of BLID and LOC399959 as candidate genes for high myopia in the Chinese Han population
lu fan	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	-SCIENCE AND CLINICAL PRACTICE	Interocular Evaluation of Axial Length and Retinal Thickness in People With Myopic Anisometropia
lu fan	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	The Development of the Refractive Status and Ocular Growth in C57BL/6 Mice
lu fan	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Retinal nerve fibre layer thickness and macular thickness in patients with esotropic amblyopia
lu fan	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	VISION RESEARCH	Biometric measurement of the mouse eye using optical coherence tomography with focal plane advancement
lu fan	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	VISION RESEARCH	Interactions of chromatic and lens-induced defocus during visual control of eye growth in guinea pigs (Cavia porcellus)
lu fan	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Visual Outcome in Isoametropic Amblyopic Children With High Hyperopia and the Effect of Therapy on Retinal Thickness
lu fan	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	JOURNAL OF VISION	The effect of blur adaptation on accommodative response and pupil size during reading
lu fan	China:Hosp Eye, Sch Optometry & Ophthalmol, Wenzhou Med Coll, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	CURRENT EYE RESEARCH	Comparison of Macular and Retinal Nerve Fiber Layer Thickness in Untreated and Treated Binocular Amblyopia
lu fang	China:Chinese Acad Sci, Sichuan Translat Res Hosp, Chengdu, Sichuan,Peoples R China. Chinese Academy of Sciences	PLOS ONE	A Novel PRPF31 Mutation in a Large Chinese Family with Autosomal Dominant Retinitis Pigmentosa and Macular Degeneration
lu fang	China:Chinese Acad Sci, Sichuan Translat Res Hosp, Chengdu, Sichuan,Peoples R China. Chinese Academy of Sciences	MOLECULAR VISION	An association study of SERPING1 gene and age-related macular degeneration in a Han Chinese population
lu fang	China:Chinese Acad Sci, Sichuan Translat Res Hosp, Chengdu, Sichuan,Peoples R China. Chinese Academy of Sciences	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	ASSOCIATION STUDY OF COMPLEMENT FACTOR H, C2, CFB, AND C3 AND AGE-RELATED MACULAR DEGENERATION IN A HAN CHINESE POPULATION
lu fang	China:Chinese Acad Sci, Sichuan Translat Res Hosp, Chengdu, Sichuan,Peoples R China. Chinese Academy of Sciences	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A Genetic Variant in the SKIV2L Gene Is Significantly Associated With Age-Related Macular Degeneration in a Han Chinese Population
lu fang	China:Chinese Acad Sci, Sichuan Translat Res Hosp, Chengdu, Sichuan,Peoples R China. Chinese Academy of Sciences	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Factor VII-Verteporfin for Targeted Photodynamic Therapy in a Rat Model of Choroidal Neovascularization
lu fengqing	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Shanghai Eye Res Inst, Shanghai Peoples Hosp 1, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	FUNCTIONAL RECOVERY AFTER INTRAVITREAL BEVACIZUMAB TREATMENTS FOR IDIOPATHIC CHOROIDAL NEOVASCULARIZATION IN YOUNG ADULTS
lu fengqing	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Shanghai Eye Res Inst, Shanghai Peoples Hosp 1, Shanghai 200080,Peoples R China. Shanghai Jiao Tong University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	The Antiangiogenic Effects of Integrin alpha 5 beta 1 Inhibitor (ATN-161) In Vitro and In Vivo
