ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
shentu xingchao	China:Zhejiang Univ, Coll Med, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	MOLECULAR VISION	The TGFBI R555W mutation induces a new granular corneal dystrophy type I phenotype
shi daling	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Overexpression of SIRT1 Promotes High Glucose-Attenuated Corneal Epithelial Wound Healing via p53 Regulation of the IGFBP3/IGF-1R/AKT Pathway
shi fanjun	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Hosp Eye, Wenzhou,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	A Novel Experimental Mouse Model of Retinal Detachment: Complete Functional and Histologic Recovery of the Retina
shi guangsen	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong Sar,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Comparison of Contamination Rates of Designs of Rigid Contact Lens Cases
shi guangsen	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong Sar,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Adherence of Acanthamoeba to Lens Cases and Effects of Drying on Survival
shi guangsen	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong Sar,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Amoebicidal Effects of Contact Lens Disinfecting Solutions
shi guangsen	China:Hong Kong Polytech Univ, Sch Optometry, Hong Kong Sar,Peoples R China. Hong Kong Polytechnic University	OPTOMETRY AND VISION SCIENCE	Effect of Multipurpose Solutions against Acinetobacter Carrying QAC Genes
shi hui	China:Yantai Univ, Inst Reprod & Dev Biol, Coll Life Sci, Yantai, Shandong,Peoples R China. Yantai University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Topical Administration of Peroxiredoxin-6 on the Cornea Suppresses Inflammation and Neovascularization Induced by Ultraviolet Radiation
shi jieliang	China:Wenzhou Med Coll, Affiliated Eye Hosp, Sch Optometry & Ophthalmol, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	JOURNAL OF CATARACT AND REFRACTIVE SURGERY	Biaxial microincision cataract surgery versus conventional coaxial cataract surgery: Metaanalysis of randomized controlled trials
shi jieliang	China:Wenzhou Med Coll, Affiliated Eye Hosp, Sch Optometry & Ophthalmol, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	The effect of hinge location on corneal sensation and dry eye after LASIK: a systematic review and meta-analysis
shi jingming	China:Cent S Univ, Dept Ophthalmol, Xiang Ya Hosp 2, Changsha 410011, Hunan,Peoples R China. Central South University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Transpalpebral measurement of intraocular pressure using the Diaton tonometer versus standard Goldmann applanation tonometry
shi jingming	China:Cent S Univ, Dept Ophthalmol, Xiang Ya Hosp 2, Changsha 410011, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Descemet membrane detachment after trabeculectomy
shi junting	China:Zhejiang Univ, Affiliated Hosp 2, Ctr Eye, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Conductive keratoplasty: an approach for the correction of residual hyperopia in post-lasik pseudophakia
shi minghua	China:Hankou Aier Eye Hosp, Dept Pediat Ophthalmol & Strabismus, Wuhan,Peoples R China. 	JOURNAL OF AAPOS	Hyperopic corneal refractive surgery in patients with accommodative esotropia and amblyopia
shi qiong	China:Fourth Mil Med Univ, Dept Ophthalmol, Tangdu Hosp, Xian 710038, Shaanxi Prov,Peoples R China. Fourth Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Changes of the thiol levels in the corneas of the diabetic rats: effect of carnosine, aspirin and a combination eye drops
shi shuai	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Comparison of Different Methods of Glycerol Preservation for Deep Anterior Lamellar Keratoplasty Eligible Corneas
shi shuai	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	MOLECULAR VISION	Therapeutic efficacy of trehalose eye drops for treatment of murine dry eye induced by an intelligently controlled environmental system
shi tianyu	China:Aier Eye & Optometry Hosp Shenyang City, Shenyang 110003, Liaoning Prov,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Stress and continuous relaxation spectrum of porcine cornea after LASIK
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Major shifts in corneal transplantation procedures in north China: 5316 eyes over 12 years
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	BMC OPHTHALMOLOGY	Modified tectonic keratoplasty with minimal corneal graft for corneal perforation in severe Stevens - Johnson syndrome: a case series study
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Transplantation of tissue-engineered human corneal endothelium in cat models
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Lymphocyte infiltration and activation in iris-ciliary body and anterior chamber of mice in corneal allograft rejection
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Lamellar Keratoplasty Following Thermokeratoplasty in the Treatment of Acute Corneal Hydrops
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	CORNEA	Combined Anterior Chamber Washout, Amniotic Membrane Transplantation, and Topical Use of Corticosteroids for Severe Peripheral Ulcerative Keratitis
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Partial lamellar keratoplasty for peripheral corneal disease using a graft from the glycerin-preserved corneoscleral rim
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Ring-shaped corneoscleral lamellar keratoplasty guided by high-definition optical coherence tomography and Scheimpflug imaging for severe Terrien's marginal corneal degeneration
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	EXPERIMENTAL EYE RESEARCH	Pluripotin enhances the expansion of rabbit limbal epithelial stem/progenitor cells in vitro
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Experimental Efficacy of Mycophenolate Mofetil Implant on High-Risk Corneal Allograft Rejection and Its Biocompatibility in the Anterior Chamber of Rabbits
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Clinical observation of removal of the necrotic corneal tissue combined with conjunctival flap covering surgery under the guidance of the AS-OCT in treatment of fungal keratitis
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	CORNEA	Advanced Topography-Guided (OcuLink) Treatment of Irregular Astigmatism After Epikeratophakia in Keratoconus With the WaveLight Excimer Laser
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	In vitro culture of human fetal corneal endothelial cells
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	CORNEA	Clinical Features and Surgical Treatment of Peripheral Staphyloma
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Combined penetrating keratoplasty and keratolimbal allograft transplantation in comparison with corneoscleral transplantation in the treatment of severe eye burns
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	CORNEA	Penetrating Keratoplasty With Small-Diameter and Glycerin-Cryopreserved Grafts for Eccentric Corneal Perforations
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	CURRENT EYE RESEARCH	Expression of Fibroblast Activation Proteins in Corneal Stromal Neovascularization
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	CURRENT EYE RESEARCH	Expression of MMP, HPSE, and FAP in Stroma Promoted Corneal Neovascularization Induced by Different Etiological Factors
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	CURRENT EYE RESEARCH	Role of Extracellular Phospholipase B of Candida albicans as a Virulent Factor in Experimental Keratomycosis
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Establishment of a murine model of chronic corneal allograft dysfunction
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Rapamycin prevents endothelial cell migration by inhibiting the endothelial-to-mesenchymal transition and matrix metalloproteinase-2 and -9: An in vitro study
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	OPHTHALMOLOGY	Risk Factors, Clinical Features, and Outcomes of Recurrent Fungal Keratitis after Corneal Transplantation
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	OPHTHALMOLOGY	Treatment failure after lamellar keratoplasty for fungal keratitis
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Primary diseases of corneal perforation in Shandong Province, China: A 10-year retrospective study
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Antifungal chemotherapy for fungal keratitis guided by in vivo confocal microscopy
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Antifungal susceptibility for common pathogens of fungal keratitis in Shandong Province, China
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Clinical Features of Immune Rejection After Corneoscleral Transplantation
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Features of corneal neovascularization and lymphangiogenesis induced by different etiological factors in mice
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Management of severe ocular burns with symblepharon
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Perioperative treatment and prognostic factors for penetrating keratoplasty in Acanthamoeba keratitis unresponsive to medical treatment
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	OPHTHALMOLOGY	Hyphal growth patterns and recurrence of fungal keratitis after lamellar keratoplasty
shi w	China:Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	OPHTHALMOLOGY	Modified Deep Lamellar Keratoplasty for the Treatment of Advanced-Stage Keratoconus with Steep Curvature
shi weiyun	China:Shandong Acad Med Sci, Shandong Eye Inst, Qingdao,Peoples R China. 	OPHTHALMOLOGY	A Novel Cyclosporine A Drug-Delivery System for Prevention of Human Corneal Rejection after High-risk Keratoplasty: A Clinical Study
shi weiyun	China:Shandong Eye Inst, Qingdao,Peoples R China. 	OPHTHALMOLOGY	Intracameral Cyclosporine Drug Delivery System in High-risk Keratoplasty Reply
shi x	China:Zhejiang Univ, Affiliated Hosp 2, Sch Med, Dept Ophthalmol, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	EYE	High molecular weight hyaluronan decreases oxidative DNA damage induced by EDTA in human corneal epithelial cells
shi x	China:Zhejiang Univ, Affiliated Hosp 2, Sch Med, Dept Ophthalmol, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Cytoprotective effect of hyaluronic acid and hydroxypropyl methylcellulose against DNA damage induced by thimerosal in Chang conjunctival cells
shi x	China:Zhejiang Univ, Affiliated Hosp 2, Sch Med, Dept Ophthalmol, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Role of benzalkonium chloride in DNA strand breaks in human corneal epithelial cells
shi x	China:Zhejiang Univ, Affiliated Hosp 2, Sch Med, Dept Ophthalmol, Hangzhou 310009, Zhejiang,Peoples R China. Zhejiang University	MOLECULAR VISION	17-beta-estradiol inhibits hyperosmolarity-induced proinflammatory cytokine elevation via the p38 MAPK pathway in human corneal epithelial cells
shi xiaoru	China:Jilin Univ, Hosp 1, Dept Ophthalmol, Changchun 130021,Peoples R China. Jilin University	CANADIAN JOURNAL OF OPHTHALMOLOGY-JOURNAL CANADIEN D OPHTALMOLOGIE	Minimal trephination penetrating keratoplasty for severe fungal keratitis complicated with hypopyon
shi yan	China:Harbin Med Coll, Affiliated Hosp 1, Hosp Eye, Key Lab Harbin Med Univ Eye Ctr, Harbin 150001,Peoples R China. Harbin Medical University	MOLECULAR VISION	Comparison of the antiangiogenic activity of modified RGDRGD-endostatin to endostatin delivered by gene transfer in vivo rabbit neovascularization model
shi yao	China:Huazhong Univ Sci & Technol, Tongji Med Coll, Union Hosp, Dept Pediat, Wuhan 430022, Hubei Province,Peoples R China. Huazhong University of Science & Technology	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	External sclerostomy with the femtosecond laser versus a surgical knife in rabbits
shi yao	China:Nanjing Univ, Sch Med, Jinling Hosp, Dept Ophthalmol, Nanjing 210002,Peoples R China. Nanjing University	BRITISH JOURNAL OF OPHTHALMOLOGY	Lornoxicam protects mouse cornea from UVB-induced damage via inhibition of NF-kappa B activation
shi yuehuan	China:Jinan Univ, Affiliated Hosp 1, Dept Ophthalmol, Guangzhou, Guangdong,Peoples R China. Jinan University	EXPERIMENTAL EYE RESEARCH	Transduced protein transduction domain linked HSP27 protected LECs against UVB radiation-induced damage
shi yuhua	China:Nanjing Univ, Jinling Hosp, Sch Med, Dept Ophthalmol, Nanjing 210002, Jiangsu,Peoples R China. Nanjing University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Femtosecond laser-assisted deep anterior lamellar keratoplasty for keratoconus and keratectasia
shou tiande	China:Fudan Univ, Key Lab Myopia, Eye & ENT Hosp, Shanghai Med Coll,State Hlth Minist, Shanghai 200031,Peoples R China. Fudan University	EXPERIMENTAL EYE RESEARCH	Neuroprotective effect of transcorneal electrical stimulation on ischemic damage in the rat retina
shum jennifer	China:United Christian Hosp, Dept Ophthalmol, Kowloon, Hong Kong,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Prevalence of ocular abnormalities in adults with Down syndrome in Hong Kong
shum shum	China:United Christian Hosp, Dept Ophthalmol, Kowloon, Hong Kong,Peoples R China. 	BMC OPHTHALMOLOGY	Intraoperative fracture of phacoemulsification sleeve
siu siu	China:Chinese Univ Hong Kong, Prince Wales Hosp, Dept Ophthalmol & Visual Sci, Shatin, Hong Kong,Peoples R China. Chinese University of Hong KongPrince of Wales Hospital	CURRENT OPINION IN OPHTHALMOLOGY	Alternatives to corneal transplantation for the management of bullous keratopathy
song bailin	China:Changchun Univ Hosp Chinese Med, Dept Ophthalmol, Changchun 130021, Jilin,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Preliminary findings of immunological characteristics in primary human corneal endothelial cells
song benwen	China:Shanghai 6 Peoples Hosp, Dept Ophthalmol, Shanghai,Peoples R China. Shanghai Jiao Tong University	CURRENT EYE RESEARCH	Lentivirus-Mediated sFlt-1 Gene Fragment Transfer Suppresses Retinal Neovascularization
